ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Caffeine,Cannabis,Chocolate,Legal High,Nicotine,Illicit Drugs
1,35-44,0.49788,Female,Professional Diploma,UK,White/Asian,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21712,-1.18084,CL5,CL6,CL0,CL5,CL0,CL2,1
2,25-34,-0.07854,Male,Doctorate Degree,UK,White,-0.67825,1.93886,1.43533,0.76096,-0.14277,-0.71126,-0.21575,CL5,CL6,CL4,CL6,CL0,CL4,1
3,35-44,0.49788,Male,Professional Diploma,UK,White,-0.46725,0.80523,-0.84732,-1.62090,-1.01450,-1.37983,0.40148,CL6,CL6,CL3,CL4,CL0,CL0,1
4,18-24,-0.95197,Female,Masters Degree,UK,White,-0.14882,-0.80615,-0.01928,0.59042,0.58489,-1.37983,-1.18084,CL4,CL5,CL2,CL4,CL0,CL2,1
5,35-44,0.49788,Female,Doctorate Degree,UK,White,0.73545,-1.63340,-0.45174,-0.30172,1.30612,-0.21712,-0.21575,CL4,CL6,CL3,CL6,CL1,CL2,1
6,65+,2.59171,Female,Left at 18,Canada,White,-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,CL2,CL6,CL0,CL4,CL0,CL6,0
7,45-54,1.09449,Male,Masters Degree,USA,White,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987,CL6,CL6,CL1,CL5,CL0,CL6,0
8,35-44,0.49788,Male,Left at 16,UK,White,-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,CL5,CL6,CL0,CL4,CL0,CL0,0
9,35-44,0.49788,Female,Professional Diploma,Canada,White,0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,CL4,CL6,CL0,CL6,CL0,CL6,0
10,55-64,1.82213,Male,Masters Degree,UK,White,-0.24649,0.00332,-1.42424,0.59042,0.12331,-1.37983,-0.84637,CL6,CL6,CL1,CL6,CL0,CL6,1
11,25-34,-0.07854,Female,University Degree,UK,White,-1.05308,0.80523,-1.11902,-0.76096,1.81175,0.19268,0.07987,CL5,CL6,CL2,CL5,CL0,CL2,1
12,45-54,1.09449,Male,Some College,Other,White,-1.32828,0.00332,0.14143,-1.92595,-0.52745,0.52975,1.22470,CL5,CL6,CL4,CL5,CL0,CL6,1
13,55-64,1.82213,Female,University Degree,UK,White,2.28554,0.16767,0.44585,-1.62090,-0.78155,1.29221,0.07987,CL5,CL6,CL3,CL5,CL0,CL6,1
14,55-64,1.82213,Female,Professional Diploma,Canada,White,-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637,CL1,CL5,CL0,CL0,CL0,CL1,0
15,55-64,1.82213,Female,Professional Diploma,UK,White,-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.76540,CL6,CL6,CL0,CL6,CL0,CL6,0
16,55-64,1.82213,Male,University Degree,UK,White,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,-0.71126,-0.52593,CL5,CL6,CL1,CL5,CL0,CL0,1
17,35-44,0.49788,Female,Some College,UK,White,-1.55078,-0.80615,-1.68062,0.28783,0.75830,-0.21712,-2.07848,CL6,CL6,CL3,CL5,CL0,CL6,1
18,45-54,1.09449,Male,Left at 16,UK,White,0.52135,-1.23177,-0.31776,-0.45321,-1.38502,-1.37983,-0.84637,CL6,CL6,CL6,CL4,CL0,CL6,1
19,55-64,1.82213,Male,University Degree,Australia,White,1.37297,-0.15487,-0.17779,-1.92595,-1.51840,-0.71126,-0.21575,CL6,CL6,CL3,CL6,CL2,CL0,1
20,35-44,0.49788,Male,Professional Diploma,UK,White,-0.34799,-1.76250,-2.39883,-1.92595,0.75830,-1.37983,-2.07848,CL4,CL6,CL1,CL6,CL0,CL1,1
21,45-54,1.09449,Male,Professional Diploma,UK,White,-0.79151,0.80523,0.72330,1.61108,-1.13788,0.19268,-0.21575,CL6,CL6,CL2,CL6,CL0,CL3,1
22,65+,2.59171,Male,Left before 16,UK,White,-1.19430,0.47617,-1.11902,-0.60633,1.81175,-0.21712,-1.18084,CL5,CL6,CL1,CL6,CL0,CL1,1
23,45-54,1.09449,Male,University Degree,UK,White,0.41667,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,CL4,CL5,CL0,CL6,CL0,CL0,0
24,45-54,1.09449,Male,Left at 16,UK,White,1.60383,-3.27393,-1.27553,0.28783,-1.01450,-1.37983,-1.54858,CL6,CL6,CL2,CL6,CL0,CL6,1
25,55-64,1.82213,Male,University Degree,UK,White,-0.14882,0.63779,1.24033,0.76096,1.46191,-0.21712,-0.52593,CL5,CL5,CL1,CL5,CL0,CL6,1
26,45-54,1.09449,Male,Some College,UK,White,-0.79151,-0.43999,-1.27553,0.94156,-0.00665,-0.21712,0.40148,CL5,CL6,CL1,CL5,CL3,CL1,1
27,55-64,1.82213,Female,Left at 18,Canada,White,-0.05188,-1.63340,-3.27393,-0.76096,0.58489,0.19268,-1.54858,CL6,CL6,CL1,CL6,CL0,CL6,1
28,35-44,0.49788,Male,University Degree,UK,White,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,1.86203,0.40148,CL6,CL6,CL6,CL5,CL2,CL2,1
29,35-44,0.49788,Female,Masters Degree,UK,White,0.04257,-1.50796,-0.71727,0.28783,1.30612,0.19268,-0.52593,CL6,CL4,CL1,CL5,CL0,CL0,0
30,45-54,1.09449,Male,Doctorate Degree,UK,White,-1.32828,1.74091,0.88309,0.94156,1.81175,-0.21712,-0.52593,CL0,CL6,CL0,CL6,CL0,CL0,0
31,45-54,1.09449,Male,Left at 16,UK,White,0.31287,-0.80615,-1.27553,-1.47955,-0.65253,-1.37983,0.07987,CL6,CL6,CL2,CL6,CL1,CL2,1
32,35-44,0.49788,Female,Left at 16,Other,White,-1.19430,-0.80615,0.14143,-0.60633,-0.00665,-1.37983,-0.84637,CL3,CL3,CL0,CL5,CL0,CL1,1
33,35-44,0.49788,Male,University Degree,UK,White,-0.79151,-1.23177,-0.01928,0.43852,-0.00665,0.19268,-0.84637,CL6,CL6,CL3,CL6,CL0,CL6,1
34,18-24,-0.95197,Male,University Degree,UK,White,0.41667,-0.30033,0.29338,1.28610,-0.14277,-0.71126,-1.54858,CL6,CL6,CL0,CL6,CL0,CL0,0
35,35-44,0.49788,Male,University Degree,USA,Other,1.02119,0.63779,0.88309,-2.90161,-0.78155,0.52975,1.92173,CL4,CL5,CL2,CL5,CL1,CL5,1
36,65+,2.59171,Male,Left before 16,UK,White,-0.24649,-0.80615,-2.63199,-0.30172,-0.78155,0.52975,-1.54858,CL3,CL6,CL0,CL6,CL0,CL6,0
37,35-44,0.49788,Male,University Degree,UK,White,-0.24649,-0.57545,-0.17779,-0.01729,-1.51840,-0.21712,-0.21575,CL6,CL6,CL0,CL5,CL0,CL0,0
38,55-64,1.82213,Male,Left before 16,USA,White,0.31287,0.32197,1.06238,0.13136,-0.65253,0.52975,-0.52593,CL6,CL6,CL3,CL4,CL0,CL6,1
39,45-54,1.09449,Male,University Degree,UK,White,-1.55078,1.28610,0.29338,-0.01729,0.75830,-0.21712,-0.84637,CL6,CL4,CL1,CL5,CL0,CL1,1
40,65+,2.59171,Female,Professional Diploma,UK,White,-0.24649,-0.94779,-1.11902,-0.76096,0.41594,-1.37983,-0.21575,CL6,CL6,CL1,CL6,CL1,CL1,1
41,35-44,0.49788,Male,Masters Degree,UK,White,0.04257,-0.43999,-0.01928,-2.07848,0.75830,-0.71126,0.07987,CL5,CL6,CL0,CL6,CL0,CL1,1
42,35-44,0.49788,Female,University Degree,UK,White,0.82562,0.00332,1.06238,1.81866,-0.40581,-0.21712,-0.21575,CL4,CL4,CL0,CL6,CL0,CL1,0
43,35-44,0.49788,Male,Masters Degree,UK,White,-0.14882,-0.94779,-1.27553,-0.01729,-0.65253,-0.21712,-0.52593,CL6,CL6,CL2,CL4,CL2,CL1,1
44,35-44,0.49788,Male,Professional Diploma,UK,White,-0.92104,-0.57545,-0.31776,-0.15487,-1.01450,-0.21712,-0.21575,CL6,CL6,CL3,CL6,CL0,CL6,1
45,25-34,-0.07854,Male,University Degree,UK,Other,-1.05308,1.45421,0.44585,1.28610,0.93949,-0.21712,0.07987,CL5,CL6,CL0,CL5,CL0,CL2,0
46,25-34,-0.07854,Female,University Degree,UK,White,-0.46725,0.47617,1.24033,0.94156,1.63088,-1.37983,-2.07848,CL5,CL6,CL0,CL6,CL0,CL0,0
47,45-54,1.09449,Female,Some College,Canada,White,0.31287,0.63779,-1.11902,0.28783,1.46191,-0.71126,-0.84637,CL3,CL6,CL1,CL4,CL0,CL2,1
48,45-54,1.09449,Male,Masters Degree,UK,White,-2.05048,0.80523,0.29338,0.94156,1.13407,-2.55524,-1.18084,CL5,CL6,CL1,CL4,CL0,CL0,0
49,45-54,1.09449,Male,Left at 16,UK,White,0.13606,-0.80615,-0.31776,-0.15487,-0.65253,0.19268,-0.84637,CL6,CL6,CL5,CL6,CL0,CL6,1
50,25-34,-0.07854,Female,Masters Degree,UK,White/Black,0.82562,-0.57545,-1.97495,-0.91699,0.25953,0.52975,1.22470,CL6,CL6,CL0,CL6,CL0,CL5,0
51,35-44,0.49788,Male,Masters Degree,UK,White,1.02119,-0.15487,-0.17779,-1.21213,-0.00665,-0.71126,-0.84637,CL6,CL6,CL3,CL6,CL2,CL6,1
52,45-54,1.09449,Male,Professional Diploma,Canada,White,1.13281,0.96248,-0.58331,-0.91699,-1.92173,1.86203,1.92173,CL2,CL6,CL2,CL6,CL0,CL2,1
53,55-64,1.82213,Female,University Degree,UK,White,-0.14882,0.00332,-1.42424,0.28783,-0.78155,0.52975,-1.54858,CL5,CL6,CL0,CL5,CL0,CL1,0
54,45-54,1.09449,Male,Masters Degree,UK,White,-1.43907,-0.15487,1.06238,0.28783,0.25953,-0.21712,-0.21575,CL5,CL6,CL1,CL5,CL0,CL1,1
55,55-64,1.82213,Male,Left at 16,UK,White,0.04257,1.11406,-0.58331,-1.07533,-1.13788,1.29221,1.22470,CL6,CL6,CL2,CL6,CL3,CL1,1
56,55-64,1.82213,Female,Professional Diploma,UK,White,0.04257,-0.69509,-1.11902,-0.45321,-0.40581,-1.37983,-2.07848,CL3,CL6,CL0,CL6,CL0,CL0,0
57,35-44,0.49788,Female,Some College,UK,White,0.04257,0.00332,-1.68062,-0.01729,0.25953,-1.37983,-1.54858,CL5,CL6,CL0,CL6,CL0,CL0,0
58,25-34,-0.07854,Female,University Degree,UK,White,-0.58016,0.63779,-1.97495,0.28783,0.75830,-0.71126,-0.52593,CL1,CL6,CL0,CL3,CL0,CL0,0
59,45-54,1.09449,Male,Left at 18,UK,White,0.22393,0.63779,-0.01928,-0.45321,-0.40581,1.86203,1.22470,CL5,CL6,CL5,CL5,CL3,CL6,1
60,45-54,1.09449,Male,University Degree,UK,White,-0.46725,-1.23177,-1.27553,-1.62090,-0.14277,-1.37983,-1.54858,CL5,CL6,CL0,CL6,CL0,CL0,0
61,25-34,-0.07854,Female,Doctorate Degree,UK,White,1.37297,0.32197,0.29338,-0.30172,-0.27607,-1.37983,0.07987,CL5,CL6,CL0,CL6,CL0,CL1,1
62,45-54,1.09449,Male,Masters Degree,UK,Asian,-2.21844,1.58487,1.24033,0.13136,1.30612,-1.37983,-1.18084,CL5,CL4,CL1,CL5,CL0,CL0,1
63,25-34,-0.07854,Male,University Degree,UK,White,-0.58016,-1.37639,-1.82919,-1.34289,0.41594,-1.37983,-1.18084,CL5,CL5,CL0,CL5,CL0,CL4,0
64,45-54,1.09449,Male,University Degree,UK,White,1.02119,-0.30033,-0.71727,-0.60633,-0.00665,-1.37983,-1.18084,CL5,CL6,CL0,CL5,CL0,CL0,0
65,45-54,1.09449,Male,Doctorate Degree,UK,White,-1.55078,0.47617,1.06238,-0.45321,0.93949,-1.37983,-0.52593,CL6,CL6,CL6,CL5,CL0,CL1,1
66,35-44,0.49788,Male,Some College,UK,White,0.73545,0.47617,-0.84732,1.11406,0.58489,0.52975,-0.21575,CL5,CL6,CL0,CL6,CL0,CL0,1
67,45-54,1.09449,Male,Left at 16,UK,White,-1.05308,-0.69509,-1.11902,1.28610,0.41594,-0.71126,-1.18084,CL4,CL0,CL0,CL5,CL0,CL0,0
68,25-34,-0.07854,Male,Masters Degree,UK,White,-0.34799,-0.30033,1.06238,-0.91699,-0.14277,0.88113,-0.21575,CL5,CL6,CL2,CL5,CL0,CL5,1
69,35-44,0.49788,Male,Professional Diploma,Other,White,-0.92104,0.00332,0.29338,-0.15487,-0.27607,-0.21712,0.07987,CL5,CL5,CL2,CL6,CL1,CL1,1
70,45-54,1.09449,Female,Left at 16,UK,White,-0.05188,-0.69509,-1.68062,0.28783,-0.00665,-1.37983,-0.84637,CL6,CL1,CL0,CL6,CL0,CL1,1
71,25-34,-0.07854,Male,Some College,UK,White,-0.34799,-0.30033,0.14143,-1.92595,-0.27607,0.52975,0.76540,CL6,CL4,CL2,CL6,CL2,CL2,1
72,45-54,1.09449,Female,Left at 18,Canada,White,-0.46725,1.11406,-0.31776,1.11406,0.12331,-2.55524,-0.84637,CL5,CL6,CL1,CL6,CL0,CL6,0
73,45-54,1.09449,Male,Left at 18,UK,White,-1.55078,0.96248,-0.01928,0.43852,0.93949,0.19268,0.40148,CL6,CL6,CL1,CL5,CL0,CL2,1
74,45-54,1.09449,Male,Professional Diploma,UK,White,-0.67825,-0.57545,-0.31776,0.28783,1.13407,-0.71126,-0.21575,CL6,CL6,CL0,CL6,CL0,CL1,0
75,65+,2.59171,Female,Left at 16,UK,White,-1.19430,-1.76250,-2.85950,-1.47955,0.25953,0.52975,-2.07848,CL3,CL6,CL0,CL6,CL0,CL1,0
76,25-34,-0.07854,Male,University Degree,UK,White,-0.14882,0.16767,-1.55521,-0.76096,-0.40581,0.52975,-0.21575,CL5,CL6,CL1,CL6,CL0,CL0,0
77,45-54,1.09449,Female,Left at 17,Canada,White,-0.34799,-0.69509,-1.55521,0.43852,0.58489,-2.55524,-2.07848,CL4,CL6,CL0,CL5,CL0,CL6,0
78,35-44,0.49788,Male,University Degree,UK,White,0.13606,-1.63340,-0.58331,-1.21213,-0.40581,-0.21712,-2.07848,CL3,CL6,CL2,CL5,CL0,CL6,1
79,35-44,0.49788,Male,Some College,UK,White,-0.79151,-0.80615,-2.09015,-1.62090,-2.18109,-2.55524,-1.18084,CL6,CL6,CL1,CL5,CL0,CL3,1
80,35-44,0.49788,Male,Professional Diploma,UK,White,-0.34799,-0.80615,-1.97495,1.11406,-0.65253,-0.21712,-0.21575,CL5,CL6,CL0,CL6,CL0,CL1,0
81,65+,2.59171,Female,Doctorate Degree,Canada,White,0.04257,0.32197,0.44585,-0.15487,1.46191,-0.21712,-0.21575,CL6,CL6,CL1,CL5,CL0,CL0,1
